id,build,kind,part,spec,qty_per_unit,supplier,url,eur_unit_q1,eur_unit_q10,eur_unit_q25,subtotal_per_unit_q1,subtotal_per_unit_q25,subtotal_batch25,estimate,notes
P0-14,P0,unit,OU electronics,"USB-C breakout (5 V), pogo female side (from P0-07), 2 magnets, silicone wire; optional 2200 K LED strip",1,AliExpress / Optimus Digital,https://www.optimusdigital.ro,5,4,3,5,3,75,[E],"Standard OU: no battery, no radio."
P0-15,P0,unit,USB-C data cable,"Braided USB-C to USB-C (or A-C), 1 m, data-capable (flashing)",1,AliExpress / eMAG,https://www.aliexpress.com/w/wholesale-braided-usb-c-cable.html,4,3,2.5,4,2.5,62.5,[E],No charger in the box (EU common-charger rules).
P0-16,P0,unit,Packaging,"Rigid cream box or sleeve 118 x 78 x 150 mm, pulp/foam insert, quick-guide card",1,Romanian print shop (tipografie),https://www.google.com/search?q=cutii+rigide+personalizate+tiraj+mic,15,10,8,15,8,200,[E],"research/10: $8-15 @10, $6-12 @25."
P0-17,P0,unit,Freight + customs share,"DHL Express CN->RO (~$14/kg) + ~6 % duty (B2B, HS 7616/8529 per broker) + 21 % import VAT + clearance fee",1,DHL Express,https://www.dhl.com/ro-en/home.html,25,12,6,25,6,150,[E],Needs EORI. VAT deductible only if VAT-registered (ARTEMIS is not).
F-01,F00,unit,Laser marking on base,"SOUL, No. (serial), PROIECTAT IN ROMANIA, model/batch, manufacturer + address, CE, WEEE crossed bin, battery Li-ion 3.7 V / Wh",1,CNC supplier (add to RFQ) or RO fibre-laser shop,https://jlccnc.com,0,3,2,0,2,50,[E],Mask a ground contact spot during anodising (ESD).
F-02,F00,unit,Coin PCB for 5 contacts,"FR4 coin, ENIG or hard gold, 1 centre pad dia 1.8 + 4 arc pads",1,JLCPCB,https://jlcpcb.com,0,2,1.5,0,1.5,37.5,[E],Final v6 foot contacts; P0 can skip.
F-03,F00,unit,Birth certificate + RO/EN quick guide,"Numbered certificate (No. 001-025), guide with safety, battery, magnets, not-a-toy, AI disclosure, disposal, 2-year guarantee",1,Romanian print shop,,0,2,1.5,0,1.5,37.5,[E],GPSR: instructions in Romanian.
F-04,F00,unit,Legal label on box,"Model, serial/batch, CE, WEEE bin, battery data, manufacturer, QR to DoC",1,Romanian print shop,,0,0.6,0.5,0,0.5,12.5,[E],
B-01,F00,batch,RF reference boards,2 x Waveshare ESP32-S3-Touch-AMOLED-1.75C (factory CNC Al case) for the RSSI test,2,Waveshare,https://www.waveshare.com/esp32-s3-touch-amoled-1.75c.htm,37,37,37,74,74,74,,List $39.99-41.99 [V].
B-02,F00,batch,Spare CNC sets (same anodise bath),+5 sets (20 %) in the same order and bath for scrap/colour match,5,JLCCNC / PCBWay,https://jlccnc.com,92,92,92,460,460,460,[E],"Colour varies bath to bath: one golden sample, one bath."
B-03,F00,batch,Spare boards + cells,2 boards + 3 cells,1,Waveshare / AliExpress,https://www.waveshare.com/esp32-s3-touch-amoled-1.75.htm,70,70,70,70,70,70,[E],
B-04,F00,batch,Tools,"Soldering iron + M2 insert tip, Torx T5/T6 + PH0 drivers, digital calipers, ESD mat, kitchen scale 0.1 g, USB power meter",1,eMAG / iFixit / TME,https://www.ifixit.com,120,120,120,120,120,120,[E],"One-off, reused."
B-05,F00,batch,"CE / RED testing (radio, EMC, safety, RF exposure)","EN 300 328, EN 301 489-1/-17, EN IEC 62368-1, EN 62479; Module A self-declaration",1,Test lab PL/RO (quote 3 labs),,8500,8500,8500,8500,8500,8500,[E],"research/03: EUR 5-12k PL/RO, 4-6 weeks best case, 8-12 with fixes. Bare ESP32-S3 (no module) = full radio tests."
B-06,F00,batch,EN 18031 cybersecurity (RED 3.3 d/e/f),Assessment + documentation; notified body only if a restriction is hit,1,Same lab / consultant,,3000,3000,3000,3000,3000,3000,[E],research/03: EUR 0-9k ($6-9.5k full).
B-07,F00,batch,Compliance consultant + technical file,"1 h scoping + DoC, risk analysis (GPSR), manuals, labels",1,Consultant,,800,800,800,800,800,800,[E],
B-08,F00,batch,ANMAP registrations + collective scheme,EEE producer 500 lei + battery producer 500 lei + scheme contract (Environ/Ecotic) year 1,1,ANMAP + Environ / Ecotic,https://www.anmap.gov.ro,500,500,500,500,500,500,[E],Plus AFM monthly declarations.
B-09,F00,batch,EU trademark SOUL,"EUIPO, classes 9 + 42 (EUR 850 + 50); apply for SME Fund voucher FIRST",1,EUIPO,https://www.euipo.europa.eu,900,900,900,900,900,900,,"Up to 75 % back via SME Fund 2026 (deadline 4 Dec 2026, check availability)."
B-10,F00,batch,Product liability insurance (year 1),,1,Romanian insurer / broker,,500,500,500,500,500,500,[E],
B-11,F00,batch,Anodise colour golden sample,"Physical sample per colour, approved under D65 light",1,CNC supplier,https://jlccnc.com,100,100,100,100,100,100,[E],

TOTAL,,,"TOTAL P0 plastic looks-like, 1 unit",,,,,,,,,,211.12,[E],
TOTAL,,,"TOTAL P0 aluminium (CNC), 1 unit (CNC set bought as 2)",,,,,,,,,,363.12,[E],
TOTAL,,,TOTAL Founders 00 hardware per unit @10,,,,,,,,,,271.06,[E],
TOTAL,,,TOTAL Founders 00 hardware per unit @25,,,,,,,,,,190.28,[E],
TOTAL,,,+10 % scrap/reserve per unit @25,,,,,,,,,,19.03,[E],
TOTAL,,,"Founders 00 hardware, 25 units incl. reserve",,,,,,,,,,5232.75,[E],
TOTAL,,,"Founders 00 one-off (compliance, spares, tools, IP)",,,,,,,,,,15024,[E],
TOTAL,,,Founders 00 TOTAL cash out (25 units),,,,,,,,,,20256.75,[E],
